person_id,age,income,employment_status,education_level
P000000056,35,61100,Employed,Master
P000000057,25
P000000058,40,57800,Unemployed,Bachelor
P000000059,41,29300,Unemployed,High School
P000000060,48,82300,Unemployed,Master
P000000061,33,43100,Student,Bachelor
P000000062,70,47200,Retired,Bachelor
P000000063,36,47300,Unemployed,Associate
P000000064,43,75500,Employed,Master
P000000065,36,57700,Employed,Master
P000000066,43,37200,Self-Employed,High School
P000000067,29,27800,Employed,Associate
P000000068,20,15300,Employed,Associate
P000000069,45,93400,Self-Employed,PhD
P000000070,54,57600,Self-Employed,Bachelor
P000000071,25,38700,Student,Bachelor
P000000072,48,57500,Unemployed,Bachelor
P000000073,43,36800,Employed,High School
P000000074,19,14800,Student,High School
P000000075,73,54500,Retired,Master
P000000076,42,59700,Employed,Bachelor
P000000077,22,27600,Student,Master
P000000078,25,58600,Employed,PhD
P000000079,40,53700,Employed,Bachelor
P000000080,49,86400,Employed,Master
P000000081,39,68500,Employed,Master
P000000082,20,16500,Employed,Associate
P000000083,45,50500,Retired,Bachelor
P000000084,-5,3000,Employed,Bachelor
P000000085,47,32400,Student,High School
P000000086,60,36200,Employed,Associate
P000000087,46,40500,Employed,Associate
P000000088,65,28000,Self-Employed,High School
P000000089,59,41300,Employed,Bachelor
P000000090,54,43100,Employed,High School
P000000091,40,51300,Employed,Bachelor
P000000092,53,65400,Self-Employed,Bachelor
P000000093,19,16000,Student,Associate
P000000094,44,91100,Employed,PhD
P000000095,59,27600,Retired,High School
P000000096,35,77800,Employed,PhD
P000000097,28,21900,Employed,High School
P000000098,43,73000,Employed,PhD
P000000099,46,82400,Employed,Master
P000000100,53,79000,Unemployed,PhD
P000000101,22,22600,Student,Bachelor
P000000102,36,72200,Employed,Master
P000000103,33,50000,Student,Master
P000000104,20,30100,Unemployed,Master
P000000105,30,43600,Employed,Bachelor
P000000106,27,42500,Self-Employed,Master
P000000107,44,39200,Student,Associate
P000000108,41,54800,Self-Employed,Bachelor
P000000109,41,54200,Employed,Bachelor
P000000110,49,43500,Employed,Associate
P000000111,50,75600,Self-Employed,Master
P000000112,47,53700,Unemployed,Bachelor
P000000113,45,59800,Employed,Bachelor
P000000114,38,45600,Employed,Bachelor
P000000115,19,36700,Employed,PhD
P000000116,49,66500,Student,Bachelor
P000000117,35,51200,Employed,Bachelor
P000000118,39,92100,Unemployed,PhD
P000000119,42,37200,Employed,Associate
P000000120,60,33600,Unemployed,High School
P000000121,38,79500,Unemployed,PhD
P000000122,44,29900,Retired,High School
P000000123,22,30900,Student,Master
P000000124,39,30800,Employed,High School
P000000125,46,67500,Unemployed,Master
P000000126,26,38600,Retired,Bachelor
P000000127,35,88100,Self-Employed,PhD
P000000128,50,85600,Retired,PhD
P000000129,62,31400,Retired,High School
P000000130,29,63700,Employed,PhD
P000000131,43,32100,Employed,High School
P000000132,47,64300,Employed,Master
P000000133,40,52100,Employed,Bachelor
P000000134,61,29400,Employed,High School
P000000135,21,19500,Unemployed,Associate
P000000136,25
P000000137,72,88200,Self-Employed,PhD
P000000138,35,31700,Employed,High School
P000000139,54,93900,Unemployed,PhD
P000000140,34,50000,Self-Employed,Master
P000000141,48,53600,Self-Employed,Bachelor
P000000142,49,61200,Employed,Bachelor
P000000143,28,58200,Unemployed,PhD
P000000144,47,77000,Student,Master
P000000145,50,76000,Self-Employed,Master
P000000146,37,45000,Student,Bachelor
P000000147,51,71300,Unemployed,Master
P000000148,49,65700,Employed,Bachelor
P000000149,40,67500,Employed,Master
P000000150,44,59300,Employed,Bachelor
P000000151,47,57800,Employed,Bachelor
P000000152,44,74600,Unemployed,Master
P000000153,42,50900,Employed,Bachelor
P000000154,26,42500,Employed,Master
P000000155,22,22600,Student,Bachelor
P000000156,30,24400,Self-Employed,High School
P000000157,45,82100,Employed,Master
P000000158,37,88000,Student,PhD
P000000159,54,90600,Employed,PhD
P000000160,39,55500,Employed,Bachelor
P000000161,52,65300,Employed,Bachelor
P000000162,35,39600,Employed,Associate
P000000163,65,48700,Retired,Bachelor
P000000164,28,26500,Student,High School
P000000165,37,49600,Employed,Bachelor
P000000166,33,34700,Student,Associate
P000000167,29,62000,Employed,PhD
P000000168,44,56300,Employed,Bachelor
P000000169,35,62500,Employed,Master
P000000170,49,58000,Employed,Bachelor
P000000171,25,N/A,Employed,Bachelor
P000000172,39,47000,Student,Associate
P000000173,45,50600,Employed,Bachelor
P000000174,40,38100,Employed,High School
P000000175,41,44500,Student,Bachelor
P000000176,26,30500,Unemployed,Associate
P000000177,40,71400,Unemployed,Master
P000000178,41,44900,Self-Employed,Bachelor
P000000179,42,41700,Retired,Associate
P000000180,40,35400,Employed,High School
P000000181,19,13700,Student,High School
P000000182,49,46700,Employed,Associate
P000000183,21,21600,Student,Bachelor
P000000184,45,53400,Employed,Bachelor
P000000185,46,105100,Unemployed,PhD
P000000186,65,50900,Self-Employed,Bachelor
P000000187,42,67600,Employed,Master
P000000188,38,43000,Self-Employed,Associate
P000000189,51,60800,Employed,Bachelor
P000000190,38,48000,Employed,Bachelor
P000000191,42,47000,Employed,Associate
P000000192,twentyfive,3000,Employed,Bachelor
P000000193,24,25600,Student,Master
P000000194,44,64700,Employed,Master
P000000195,26,53300,Self-Employed,Master

P000000197,31,43400,Employed,Bachelor
P000000198,42,35400,Retired,Associate
P000000199,24,17800,Employed,Associate
P000000200,54,41800,Employed,Associate
P000000201,41,55100,Unemployed,Bachelor
P000000202,58,44000,Student,Bachelor
P000000203,44,48900,Employed,Bachelor
P000000204,42,75500,Employed,Master
P000000205,67,77500,Retired,PhD
P000000206,51,43700,Employed,Associate
P000000207,39,37000,Self-Employed,Associate
P000000208,24,24500,Unemployed,Bachelor
P000000209,36,48700,Retired,Bachelor
P000000210,38,29700,Employed,High School
P000000211,50,87400,Employed,PhD
P000000212,32,24400,Student,High School
P000000213,48,47900,Employed,Associate
P000000214,37,59400,Employed,Bachelor
P000000215,58,39500,Retired,Associate
P000000216,46,34900,Employed,High School
P000000217,37,46600,Unemployed,Associate
P000000218,33,34700,Employed,Bachelor
P000000219,46,33700,Employed,High School
P000000220,37,77900,Unemployed,PhD
P000000221,35,75100,Employed,PhD
P000000222,49,82900,Self-Employed,Master
P000000223,32,55800,Employed,PhD
P000000224,25
P000000225,35,66000,Employed,Master
P000000226,-5,3000,Employed,Bachelor
P000000227,30,32200,Employed,Associate
P000000228,30,45000,Employed,Master
P000000229,36,29500,Retired,High School
P000000230,37,65000,Employed,Master
P000000231,46,49300,Unemployed,Associate
P000000232,42,36600,Employed,Associate
P000000233,43,60600,Retired,Master
P000000234,42,81500,Unemployed,PhD
P000000235,46,60500,Unemployed,Bachelor
P000000236,36,72600,Employed,PhD
P000000237,30,65000,Employed,PhD
P000000238,66,65300,Employed,Master
P000000239,42,56500,Self-Employed,Bachelor
P000000240,33,40800,Employed,Bachelor
P000000241,35,33200,Retired,High School
P000000242,37,37400,Employed,High School
P000000243,38,72500,Employed,PhD
P000000244,48,34900,Student,High School
P000000245,48,67000,Unemployed,Master
P000000246,45,64500,Retired,Bachelor
P000000247,38,60300,Employed,Master
P000000248,34,43700,Employed,Bachelor
P000000249,27,54800,Student,Master
P000000250,32,40100,Employed,Bachelor
P000000251,46,39000,Self-Employed,High School
P000000252,26,46400,Student,Master
P000000253,63,71900,Retired,PhD
P000000254,29,28200,Employed,Associate
P000000255,54,70000,Employed,Master
P000000256,32,33100,Student,Bachelor
P000000257,54,79500,Employed,Master
P000000258,32,59200,Retired,PhD
P000000259,30,32400,Employed,Bachelor
P000000260,29,68300,Self-Employed,PhD
P000000261,38,71900,Employed,PhD
P000000262,49,51300,Employed,Associate
P000000263,55,42100,Self-Employed,Bachelor
P000000264,61,34000,Unemployed,Associate
P000000265,31,57300,Employed,PhD
P000000266,24,30800,Student,PhD
P000000267,32,53900,Retired,Master
P000000268,52,59000,Employed,Bachelor
P000000269,30,53800,Employed,Master
P000000270,70,48400,Self-Employed,Bachelor
P000000271,23,18700,Unemployed,Bachelor
P000000272,37,37400,Employed,Associate
P000000273,41,45700,Employed,Bachelor
P000000274,23,27400,Employed,Master
P000000275,twentyfive,3000,Employed,Bachelor
P000000276,35,33100,Employed,High School
P000000277,61,66500,Employed,Master
P000000278,35,48600,Employed,Bachelor
P000000279,28,32600,Employed,Bachelor
P000000280,26,36300,Employed,Bachelor
P000000281,21,25200,Unemployed,Bachelor
P000000282,37,47400,Unemployed,Associate
P000000283,52,57700,Employed,Bachelor
P000000284,54,100400,Employed,PhD
P000000285,45,86200,Employed,Master
P000000286,33,25900,Student,High School
P000000287,20,32200,Student,PhD
P000000288,57,65700,Employed,Master
P000000289,62,49700,Retired,Bachelor
P000000290,48,39900,Unemployed,Associate
P000000291,61,43400,Employed,Associate
P000000292,30,54200,Employed,PhD
P000000293,35,40000,Unemployed,Associate
P000000294,29,24300,Employed,High School
P000000295,30,34100,Employed,Bachelor
P000000296,46,81000,Self-Employed,Master
P000000297,59,60400,Employed,Master
P000000298,40,58100,Employed,Bachelor
P000000299,48,77400,Employed,Master
P000000300,50,56600,Employed,Bachelor
P000000301,60,36700,Retired,Associate
P000000302,44,37900,Self-Employed,High School
P000000303,49,64200,Employed,Bachelor
P000000304,40,35400,Unemployed,Associate
P000000305,38,88200,Retired,PhD
P000000306,43,45600,Student,Bachelor
P000000307,43,46600,Student,Bachelor
P000000308,39,46200,Retired,Bachelor
P000000309,24,20000,Student,Bachelor
P000000310,45,42900,Employed,Associate
P000000311,24,37900,Student,PhD
P000000312,38,56600,Employed,Bachelor
P000000313,41,55200,Employed,Bachelor
P000000314,27,60900,Student,PhD
P000000315,44,31400,Retired,High School
P000000316,34,34500,Employed,Bachelor
P000000317,26,22800,Employed,High School
P000000318,44,46200,Employed,Associate
P000000319,29,39200,Student,Bachelor
P000000320,45,41900,Employed,Associate
P000000321,31,43200,Retired,Bachelor
P000000322,48,95400,Unemployed,PhD
P000000323,50,77200,Employed,Master
P000000324,43,43100,Self-Employed,Associate
P000000325,28,45900,Employed,Master
P000000326,26,53600,Self-Employed,Master
P000000327,29,52300,Employed,Master
P000000328,47,75500,Employed,Master
P000000329,44,70400,Self-Employed,Master
P000000330,65,60900,Retired,Master
P000000331,46,55300,Retired,Bachelor
P000000332,45,64100,Student,Bachelor
P000000333,51,53000,Student,Bachelor
P000000334,47,64800,Retired,Master
P000000335,45,59400,Employed,Bachelor
P000000336,39,59800,Employed,Bachelor
P000000337,48,44900,Employed,Associate
P000000338,47,43800,Employed,Associate
P000000339,54,42300,Employed,Associate
P000000340,26,49000,Self-Employed,Master
P000000341,42,39900,Retired,Associate
P000000342,32,42800,Unemployed,Bachelor
P000000343,48,55500,Unemployed,Bachelor
P000000344,40,59200,Employed,Bachelor
P000000345,46,56200,Unemployed,Bachelor
P000000346,38,71500,Employed,Master
P000000347,55,28100,Employed,High School
P000000348,58,42800,Employed,Bachelor
P000000349,33,40300,Employed,Bachelor
P000000350,28,39100,Employed,Bachelor
P000000351,64,45100,Retired,Bachelor
P000000352,43,36400,Employed,High School
P000000353,38,34200,Student,High School
P000000354,32,49800,Student,Master
P000000355,38,89700,Employed,PhD
P000000356,21,32800,Student,PhD
P000000357,26,43500,Self-Employed,Master
P000000358,46,74300,Unemployed,Master
P000000359,22,28500,Unemployed,Master
P000000360,47,47700,Employed,Associate
P000000361,38,59100,Self-Employed,Master
P000000362,35,76800,Retired,Master
P000000363,42,46700,Unemployed,Bachelor
P000000364,34,41100,Employed,Bachelor
P000000365,41,46200,Student,Bachelor
P000000366,39,53800,Self-Employed,Bachelor
P000000367,33,59500,Employed,PhD
P000000368,25,66300,Employed,PhD
P000000369,33,43000,Student,Bachelor
P000000370,50,59300,Unemployed,Bachelor
P000000371,23,29200,Student,Master
P000000372,48,105700,Employed,PhD
P000000373,38,32700,Employed,High School
P000000374,67,66300,Retired,Master
P000000375,30,57100,Self-Employed,PhD
P000000376,45,56300,Self-Employed,Bachelor
P000000377,44,46700,Employed,Bachelor
P000000378,42,59400,Employed,Bachelor
P000000379,33,50400,Employed,Master
P000000380,49,71200,Student,Master
P000000381,55,60600,Employed,Master
P000000382,25,38300,Student,Bachelor
P000000383,27,45300,Self-Employed,Master
P000000384,54,104400,Employed,PhD
P000000385,46,99700,Self-Employed,PhD
P000000386,51,79300,Employed,PhD
P000000387,56,47300,Employed,Bachelor
P000000388,28,25300,Unemployed,High School
P000000389,32,50800,Employed,Master
P000000390,25
P000000391,38,33500,Employed,High School
P000000392,35,44200,Unemployed,Bachelor
P000000393,20,16100,Unemployed,Associate
P000000394,46,59900,Self-Employed,Bachelor
P000000395,41,31400,Student,High School
P000000396,53,80800,Employed,Master
P000000397,37,70000,Self-Employed,Master
P000000398,57,54600,Employed,Bachelor
P000000399,31,36900,Self-Employed,Bachelor
P000000400,36,44700,Student,Bachelor
P000000401,34,34400,Employed,Associate
P000000402,28,22700,Retired,High School
P000000403,29,42900,Employed,Bachelor
P000000404,25,N/A,Employed,Bachelor
P000000405,55,30500,Employed,High School
P000000406,41,34200,Employed,High School
P000000407,48,100600,Self-Employed,PhD
P000000408,71,43200,Self-Employed,Bachelor
P000000409,43,65900,Student,Master
P000000410,26,23300,Unemployed,High School
P000000411,41,58300,Employed,Bachelor
P000000412,21,19700,Student,Bachelor
P000000413,25,33700,Employed,Bachelor
P000000414,36,58900,Employed,Master
P000000415,20,15400,Unemployed,High School
P000000416,60,41400,Retired,Associate
P000000417,42,59200,Employed,Bachelor
P000000418,28,42400,Unemployed,Bachelor
P000000419,25,36500,Employed,Bachelor
P000000420,40,45800,Employed,Associate
P000000421,61,34100,Employed,Associate
P000000422,45,50200,Retired,Bachelor
P000000423,25,36900,Retired,Bachelor
P000000424,46,53100,Self-Employed,Bachelor
P000000425,29,53700,Employed,Master
P000000426,33,34800,Employed,Associate
P000000427,27,41200,Employed,Bachelor
P000000428,53,51900,Employed,Bachelor
P000000429,49,105100,Retired,PhD
P000000430,40,56100,Employed,Bachelor
P000000431,30,43100,Self-Employed,Master
P000000432,64,63100,Self-Employed,Master
P000000433,59,70500,Retired,Master
P000000434,21,31500,Student,Master
P000000435,36,62600,Retired,Master
P000000436,43,82200,Employed,PhD
P000000437,35,29900,Student,High School
P000000438,48,51300,Self-Employed,Bachelor
P000000439,43,63600,Employed,Master
P000000440,44,45100,Employed,Bachelor
P000000441,41,37200,Retired,Associate
P000000442,33,39100,Student,Bachelor
P000000443,33,34900,Employed,Associate
P000000444,33,52600,Employed,Master
P000000445,57,64500,Unemployed,Master
P000000446,33,50700,Retired,Master
P000000447,36,65800,Employed,Master
P000000448,37,72900,Retired,PhD
P000000449,43,33800,Employed,High School
P000000450,35,69500,Employed,Master
P000000451,39,85800,Employed,PhD
P000000452,34,34000,Self-Employed,Bachelor
P000000453,44,71700,Retired,Master
P000000454,39,35900,Employed,High School
P000000455,47,82700,Unemployed,Master
P000000456,27,42500,Self-Employed,Bachelor
P000000457,54,66200,Employed,Master
P000000458,38,67100,Employed,Master
P000000459,32,23300,Student,High School
P000000460,30,55100,Employed,Master
P000000461,59,71400,Employed,PhD
P000000462,36,72200,Student,PhD
P000000463,29,41400,Employed,Bachelor
P000000464,27,42100,Student,Master
P000000465,30,48200,Unemployed,Master
P000000466,51,89800,Employed,PhD
P000000467,35,72900,Retired,PhD
P000000468,35,58700,Employed,Bachelor
P000000469,44,52600,Employed,Bachelor
P000000470,26,42300,Employed,Master
P000000471,20,31600,Student,Master
P000000472,63,45100,Employed,Bachelor
P000000473,35,51400,Employed,Bachelor
P000000474,44,52400,Employed,Bachelor
P000000475,33,34800,Retired,Bachelor
P000000476,45,43700,Unemployed,Associate
P000000477,31,21600,Employed,High School
P000000478,34,22000,Employed,High School
P000000479,33,35200,Unemployed,Bachelor
P000000480,28,44500,Employed,Master
P000000481,44,69700,Student,Master
P000000482,55,56200,Employed,Master
P000000483,48,46100,Employed,Associate
P000000484,53,76000,Employed,Master
P000000485,46,65000,Employed,Master
P000000486,48,43200,Self-Employed,Associate
P000000487,20,29900,Unemployed,Master
P000000488,48,52900,Employed,Associate
P000000489,53,42800,Employed,Associate
P000000490,31,35200,Employed,Bachelor
P000000491,52,99100,Employed,PhD
P000000492,22,23600,Unemployed,Bachelor
P000000493,34,33900,Employed,Bachelor
P000000494,30,25100,Retired,High School
P000000495,69,54500,Retired,Bachelor
P000000496,65,55900,Self-Employed,Master
P000000497,34,41600,Employed,Bachelor
P000000498,45,42500,Unemployed,Associate
P000000499,44,80600,Student,PhD
P000000500,58,53100,Employed,Bachelor
P000000501,61,42300,Employed,Bachelor
P000000502,69,86900,Employed,PhD
P000000503,49,67300,Employed,Master
P000000504,22,22500,Employed,Bachelor
P000000505,44,40200,Unemployed,Associate
P000000506,20,29600,Employed,Master
P000000507,38,46600,Employed,Bachelor
P000000508,42,53300,Employed,Bachelor
P000000509,42,59100,Retired,Bachelor
P000000510,28,53100,Employed,Master
P000000511,59,43400,Self-Employed,Bachelor
P000000512,25,28000,Employed,Associate
P000000513,45,48100,Employed,Associate
P000000514,37,56500,Employed,Bachelor
P000000515,31,36000,Employed,Bachelor
P000000516,39,46800,Self-Employed,Associate
P000000517,33,22000,Employed,High School
P000000518,42,52700,Self-Employed,Bachelor
P000000519,19,40500,Employed,PhD
P000000520,23,16200,Unemployed,Associate
P000000521,26,69800,Retired,PhD
P000000522,34,39300,Employed,Bachelor
P000000523,39,28800,Unemployed,High School
P000000524,25
P000000525,36,49100,Employed,Bachelor
P000000526,69,53500,Retired,Bachelor
P000000527,23,34400,Employed,PhD
P000000528,39,55700,Retired,Bachelor
P000000529,40,37000,Employed,High School
P000000530,39,31200,Student,High School
P000000531,35,72900,Student,PhD
P000000532,55,50400,Employed,Bachelor
P000000533,52,61500,Student,Bachelor
P000000534,25,47700,Self-Employed,Master
P000000535,51,93600,Unemployed,PhD
P000000536,40,56100,Unemployed,Bachelor
P000000537,39,48000,Employed,Bachelor
P000000538,52,38600,Student,High School
P000000539,34,24300,Employed,High School
P000000540,26,67900,Student,PhD
P000000541,58,43600,Employed,Associate
P000000542,36,52600,Retired,Bachelor
P000000543,73,29200,Self-Employed,High School
P000000544,27,44100,Unemployed,Master
P000000545,29,28400,Unemployed,Associate
P000000546,47,42600,Student,Associate
P000000547,33,40900,Retired,Bachelor
P000000548,31,54800,Employed,Master
P000000549,23,37900,Student,PhD
P000000550,36,58800,Student,Bachelor
P000000551,24,23600,Student,Bachelor
P000000552,24,18700,Student,Bachelor
P000000553,47,74600,Self-Employed,Master
P000000554,20,23100,Student,Bachelor
P000000555,55,40800,Employed,Bachelor
P000000556,39,51300,Retired,Bachelor

P000000558,37,57000,Employed,Bachelor
P000000559,57,28200,Employed,High School
P000000560,31,58700,Employed,PhD
P000000561,33,32800,Unemployed,Bachelor
P000000562,24,37400,Unemployed,PhD
P000000563,54,66500,Employed,Bachelor
P000000564,33,43200,Student,Bachelor
P000000565,58,39600,Employed,Associate
P000000566,33,23900,Retired,High School
P000000567,35,31600,Retired,High School
P000000568,32,45500,Employed,Master
P000000569,47,74900,Employed,Master
P000000570,34,51500,Retired,Master
P000000571,57,86200,Self-Employed,PhD
P000000572,59,33700,Employed,High School
P000000573,39,31900,Employed,High School
P000000574,45,65700,Unemployed,Master
P000000575,18,15100,Student,High School
P000000576,46,60400,Unemployed,Bachelor
P000000577,24,21000,Student,Bachelor
P000000578,29,49100,Self-Employed,Master
P000000579,36,59600,Unemployed,Bachelor
P000000580,56,38800,Student,Associate
P000000581,35,56800,Unemployed,Bachelor
P000000582,36,47800,Unemployed,Bachelor
P000000583,40,37700,Employed,Associate
P000000584,23,29800,Unemployed,Master
P000000585,52,72300,Employed,Master
P000000586,32,36500,Unemployed,Bachelor
P000000587,45,41400,Employed,High School
P000000588,31,25600,Student,High School
P000000589,51,65200,Employed,Master
P000000590,31,38500,Employed,Bachelor
P000000591,38,57200,Self-Employed,Bachelor
P000000592,43,58600,Retired,Bachelor
P000000593,45,58300,Retired,Bachelor
P000000594,43,58500,Employed,Master
P000000595,twentyfive,3000,Employed,Bachelor
P000000596,46,85100,Self-Employed,Master
P000000597,45,65600,Unemployed,Bachelor
P000000598,twentyfive,3000,Employed,Bachelor
P000000599,45,82600,Self-Employed,Master
P000000600,46,55100,Unemployed,Bachelor

P000000602,36,64000,Employed,Master
P000000603,61,68500,Self-Employed,Master
P000000604,36,91500,Employed,PhD
P000000605,30,52200,Unemployed,PhD
P000000606,34,48100,Employed,Master
P000000607,41,51200,Retired,Bachelor
P000000608,27,51900,Unemployed,Master
P000000609,36,42300,Unemployed,Associate
P000000610,30,52900,Self-Employed,Master
P000000611,34,56500,Employed,Master
P000000612,51,72900,Self-Employed,Master
P000000613,36,59200,Student,Master
P000000614,55,46900,Unemployed,Bachelor
P000000615,44,46300,Unemployed,Associate
P000000616,70,71000,Self-Employed,Master
P000000617,40,50400,Unemployed,Bachelor
P000000618,43,90800,Employed,PhD
P000000619,44,77100,Employed,PhD
P000000620,22,22000,Employed,Bachelor
P000000621,72,67900,Employed,PhD
P000000622,26,51900,Employed,Master
P000000623,34,29500,Self-Employed,Associate
P000000624,31,41300,Self-Employed,Bachelor
P000000625,32,50100,Employed,Master
P000000626,28,39700,Employed,Bachelor
P000000627,41,59200,Retired,Bachelor
P000000628,43,58300,Self-Employed,Bachelor
P000000629,33,37800,Unemployed,Bachelor
P000000630,29,37200,Employed,Bachelor
P000000631,37,63500,Employed,Master
P000000632,23,15200,Student,High School
P000000633,64,39900,Retired,Associate
P000000634,52,33300,Retired,High School
P000000635,42,47900,Employed,Bachelor
P000000636,65,62000,Retired,Master
P000000637,27,39900,Employed,Bachelor
P000000638,21,32600,Student,Master
P000000639,59,65800,Employed,Master
P000000640,36,57500,Employed,Bachelor
P000000641,29,50500,Retired,Master
P000000642,49,35000,Employed,High School
P000000643,28,42900,Employed,Bachelor
P000000644,31,33200,Unemployed,Associate
P000000645,36,51500,Employed,Bachelor
P000000646,47,37800,Employed,High School
P000000647,26,26600,Employed,Associate
P000000648,37,57600,Retired,Master
P000000649,52,39600,Self-Employed,Associate
P000000650,56,74200,Employed,PhD
P000000651,72,29300,Employed,High School
P000000652,38,46900,Retired,Bachelor
P000000653,49,61100,Student,Bachelor
P000000654,19,30700,Employed,Master
P000000655,28,54700,Employed,PhD
P000000656,60,39000,Employed,Associate
P000000657,39,55400,Employed,Bachelor
P000000658,39,78400,Employed,PhD
P000000659,54,34300,Self-Employed,High School
P000000660,35,47600,Employed,Associate
P000000661,29,44500,Unemployed,Master
P000000662,42,37100,Student,High School
P000000663,38,48000,Employed,Bachelor
P000000664,40,71600,Employed,Master
P000000665,38,81800,Employed,PhD
P000000666,50,68800,Employed,Master
P000000667,23,34800,Unemployed,PhD
P000000668,42,61200,Employed,Master
P000000669,33,37200,Student,Bachelor
P000000670,35,49400,Student,Bachelor
P000000671,52,79600,Student,Master
P000000672,26,61300,Student,PhD
P000000673,47,69200,Unemployed,Master
P000000674,19,32800,Student,Master
P000000675,36,47800,Employed,Bachelor
P000000676,40,59500,Student,Bachelor
P000000677,44,58500,Unemployed,Master
P000000678,36,46700,Employed,Bachelor
P000000679,36,83900,Retired,PhD
P000000680,43,59400,Employed,Bachelor
P000000681,19,24400,Unemployed,Bachelor
P000000682,51,78700,Student,Master
P000000683,48,71200,Unemployed,Master
P000000684,64,50500,Self-Employed,Bachelor
P000000685,54,88500,Student,PhD
P000000686,25
P000000687,33,67600,Employed,PhD
P000000688,21,19900,Student,Bachelor
P000000689,36,70500,Student,Master
P000000690,47,105100,Employed,PhD
P000000691,30,28500,Retired,Associate
P000000692,37,58100,Employed,Bachelor
P000000693,32,43600,Employed,Bachelor
P000000694,38,85700,Self-Employed,PhD
P000000695,35,42700,Unemployed,Associate
P000000696,51,72800,Employed,Master
P000000697,36,44900,Employed,Bachelor
P000000698,48,73800,Employed,Master
P000000699,59,81600,Unemployed,PhD
P000000700,22,27000,Unemployed,Master
P000000701,24,27500,Student,Master
P000000702,55,36900,Employed,Associate
P000000703,22,20800,Employed,Bachelor
P000000704,33,40600,Employed,Bachelor
P000000705,21,22800,Unemployed,Bachelor
P000000706,46,59600,Unemployed,Bachelor
P000000707,24,27400,Student,Master
P000000708,41,80800,Unemployed,PhD
P000000709,23,19900,Unemployed,Associate
P000000710,26,36100,Employed,Bachelor
P000000711,28,67800,Employed,PhD
P000000712,40,48400,Self-Employed,Bachelor
P000000713,41,64600,Student,Master
P000000714,37,44700,Employed,Bachelor
P000000715,37,68800,Self-Employed,Master
P000000716,38,89500,Employed,PhD
P000000717,48,101500,Retired,PhD
P000000718,37,60100,Self-Employed,Master
P000000719,31,31800,Employed,Associate
P000000720,38,80200,Retired,PhD
P000000721,28,36700,Employed,Bachelor
P000000722,55,40800,Employed,Bachelor
P000000723,24,36000,Student,PhD
P000000724,40,59600,Self-Employed,Bachelor
P000000725,42,77500,Employed,Master
P000000726,26,30800,Unemployed,Associate
P000000727,54,81100,Self-Employed,Master
P000000728,44,73800,Retired,Master
P000000729,45,75300,Student,Master
P000000730,23,18000,Employed,Associate
P000000731,33,35200,Employed,Bachelor
P000000732,36,39300,Unemployed,Associate
P000000733,34,55400,Employed,Master
P000000734,41,34700,Retired,High School
P000000735,33,27400,Employed,Associate
P000000736,32,56300,Employed,Master
P000000737,55,86000,Self-Employed,PhD
P000000738,51,76200,Employed,Master
P000000739,55,64100,Self-Employed,Master
P000000740,75,69700,Employed,PhD
P000000741,34,37200,Unemployed,Bachelor
P000000742,37,42900,Employed,Associate
P000000743,19,20200,Student,Bachelor
P000000744,41,73900,Student,Master
P000000745,31,26500,Employed,High School
P000000746,56,32100,Employed,High School
P000000747,28,43800,Self-Employed,Master
